FCD,GEFROE,NEO,DATA,PREFIXO,KM,SERVIÇOS,EMPRESA,VALOR,RESULTADO,,
*****,*****,*****,25/02/2022,MOB-17105,39978,PROTETOR DE MOTOR E CARENAGEM,RAVI MOTOS,"R$ 1.276,80",NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,25/02/2022,AB-17102,69050,MONTAGEM DE 01 PNEU (DIANTEIRO DIREITO),RE9 DIESEL,"R$ 30,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,07/03/2022,ABS-17103,126356,INSPEÇÃO DE FREIOS (OBS.: PRÓX. INSP. COM 128300 KM),RE9 DIESEL,R$ -,NÃO HOUVE O.S. GEFROE,,
*****,*****,2542,*****,UR-17206,*****,"1. Fornecer e substituir 04 (quatro) litros de óleo de câmbio 75W80;
 2. Fornecer e substituir 02 (duas) trizetas, conforme especificações do fabricante; 
 3. Fornecer e substituir 02 (dois) guarda pós das trizetas, conforme especificações do fabricante; 
 4. Fornecer e substituir 03 (três) litros de óleo de transmissão hidráulico ATF;
 5. Fornecer e substituir 01 (uma) bomba hidráulica, conforme especificações do fabricante;
 6. Fornecer e substituir 01 (uma) caixa de direção, conforme especificações do fabricante;
 7. Fornecer e substituir 02 (duas) juntas homocinéticas, conforme especificações do fabricante;
 8. Fornecer e substituir 02 (duas) bieletas, conforme especificações do fabricante;
 9. Fornecer e substituir 02 (duas) bandejas de suspenção, conforme especificações do fabricante;
 10. Fornecer e substituir 04 (quatro) bicos injetores completos, conforme especificações do fabricante.",*****,R$ -,CANCELADA NA NEO,,
*****,*****,2544,05/04/2022,VO-17008,199275,"1. Fornecer e substituir óleo de motor, conforme especificações do fabricante;
 2. Fornecer e substituir o filtro de óleo de motor, conforme especificações do fabricante;
 3. Fornecer e substituir o filtro de ar, conforme especificações do fabricante;
 4. Fornecer e substituir o filtro de combustível, conforme especificações do fabricante.",APICE MOGI,"R$ 913,00",FINALIZADA NA NEO,,
*****,*****,*****,03/03/2022,ABS-17102,145250,REPARO NO TERMINAL DO ALTERNADOR,REI DAS BATERIAS,"R$ 100,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,03/03/2022,UT-17002,209800,TROCA DA CORREA DO ALTERNADOR,REI DAS BATERIAS,"R$ 120,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,25/02/2022,UR-17104,100159,PROBLEMAS MECÂNICOS NO MOTOR (ACIONADA A GARANTIA). (OBS.: VTR RETIRADA DA OFICINA EM 25/05/2022 PELO CB LEANDRO E CB VIDOTTO).,GARAGGEM SERVIÇOS AUTOMOTIVOS,R$ -,NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,07/03/2022,MO-17001,144442,05 (CINCO) LITROS DE ÓLEO DE MOTOR 5W30,NOGUTI CAMINHÕES,"R$ 315,20",NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,07/03/2022,MOTOMEC,*****,COMPRA DE: 1/2 KG DE GRAXA AZUL; 03 DESENGRIPANTES EM SPRAY SUPER LUB; 02 DESENGRIPANTES EM SPRAY WD-40.,NOGUTI CAMINHÕES,"R$ 128,73",NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,09/03/2022,ABS-17102,145284,SOCORRO MECÂNICO,BF DIESEL,"R$ 150,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,08/03/2022,TP-17004,128354,AR CONDICIONADO: TESTE DE VAZAMENTO; CARGA DE GÁS; TROCA DA CAIXA EVAPORADORA; TROCA DO FILTRO; TROCA DO SECADOR; TROCA DA VÁLVULA DE EXPANSÃO; LIKPEZA 141B,REFRIA'S CAR,"R$ 2.090,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,11/03/2022,ABS-17102,145522,INSPEÇÃO DE FREIOS (OBS.: PRÓX. INSP. COM 148000 KM),RE9 DIESEL,R$ -,NÃO HOUVE O.S. GEFROE,,
*****,*****,2550,30/05/2022,ASE-17101,150391,"1. Fornecer e substituir óleo de motor, conforme especificações do fabricante;
 2. Fornecer e substituir o filtro de óleo de motor, conforme especificações do fabricante;
 3. Fornecer e substituir o filtro de ar do motor, conforme especificações do fabricante;
 4. Fornecer e substituir os filtros de combustível primário e secundário;
 5. Fornecer e substituir o filtro Racor, conforme especificações do fabricante;
 6. Realizar a limpeza do sistema de arrefecimento;
 7. Fornecer e substituir o líquido de arrefecimento.",INJETRONIC,"R$ 2.419,34",FINALIZADA NA NEO,,
*****,*****,*****,01/03/2022,AB-17102,69413,"FUNCIONAMENTO ANORMAL DA BOMBA DE INCÊNDIO => troca dos sensores pressostato, de ativação do sistema segurança e das lanternas traseira.",EVR REPRESENTAÇÕES,"R$ 1.800,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,2554,*****,AB-17201,*****,1. Fornecer e substituir 01 bateria (acumulador de energia) de 12V 150Ah.,EVR REPRESENTAÇÕES,"R$ 860,00",CANCELADA NA NEO,,
*****,*****,2556,04/04/2022,UT-17001,86319,"1. Fornecer e substituir 04 (quatro) pneus com as seguintes características: 
 - Medidas: 175/70R14;
 - Índice de carga: 84;
 - Índice de velocidade: T;
 2. Realizar o balanceamento das 04 (quatro) rodas;
 3. Realizar o alinhamento de direção.",APICE MOGI,"R$ 2.600,00",FINALIZADA NA NEO,,
*****,*****,*****,14/03/2022,MOB-17101,58857,Conserto do chicote da antena da codificção da chave e troca do gerador CJ (ou CKP) de pulsos,ROTA 1,"R$ 580,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,2559,05/04/2022,VO-17008,199275,"1. Fornecer e substituir o conjunto de cilindros da embreagem;
 2. Fornecer e substituir o braço pitman;
 3. Realizar o alinhamento de direção.",APICE MOGI,"R$ 2.235,00",FINALIZADA NA NEO,,
*****,*****,2560,*****,ABE-17101,*****,"1. Fornecer e substituir o hélice do radiador (modelo novo);
 2. Fornecer e substituir o kit de mangueiras do sistema de arrefecimento;
 3. Fornecer e substituir a mangueira inferior do radiador;
 4. Fornecer e substituir os retentores e pistas dos cubos das rodas traseiras de ambos os lados;
 5. Fornecer e substituir as catracas dos freios traseiros de ambos os lados;
 6. Fornecer e substituir as buchas do ""s"" Cummins de ambos os lados;
 OBS.: os itens 7 a 11 tratam-se apenas de mão de obra, pois as devidas peças serão fornecidas pelo Corpo de Bombeiros:
 7. Substituir os tambores dos freios traseiros de ambos os lados;
 8. Substituir os kits de lonas traseiras de ambos os lados;
 9. Substituir o radiador de arrefecimento;
 10. Substituir os prisioneiros das rodas traseiras de ambos os lados;
 11. Substituir o reparo da bomba de água e carcaça.",*****,R$ -,CANCELADA NA NEO,,
*****,*****,*****,16/03/2022,AS-17101,272203,RETIRADA 04 PNEUS TRASEIROS (OBS.: PNEUS FORNECIDOS PELO CSM),CSM/MOpB,R$ -,NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,17/03/2022,AS-17101,272203,DIAGNÓSTICO NO SISTEMA DE FREIOS,BF DIESEL,R$ -,NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,18/03/2022,ASE-17101,150155,REPARO NO CILINDRO DA PATOLA,EVR REPRESENTAÇÕES,"R$ 2.350,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,18/03/2022,MOB-17105,39909,TROCA DA PLACA DO SISTEMA DE SINAIS SONOROS E LUMINOSOS (OBS.: PEÇA FORNECIDA PELO CSM AO CB PM VIANA. TROCA EFETUADA PELO CB PM VIANA),EB BRÁS CUBAS,R$ -,NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,21/03/2022,CA-17001,247786,TROCA DO CILINDRO DE EMBREAGEM (GARANTIA),BF DIESEL,R$ -,NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,21/03/2022,ABS-17102,145747,REPARO NO MOTOR DE PARTIDA (TROCA DO AUTOMÁTICO; TROCA DO PORTA ESCOVA; TROCA DE 3 LÂMPADAS),REI DAS BATERIAS,"R$ 478,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,2569,25/04/2022,CM-17102,35532,"1. Fornecer e substituir o kit de sincronização da 4ª marcha;
 2. Fornecer e substituir o óleo do câmbio.",CURIÓ SERVIÇOS,"R$ 9.015,23",FINALIZADA NA NEO,,
*****,*****,*****,22/03/2022,VO-17003,249183,TROCA DO PAINEL DE INSTRUMENTOS,COBRA VELOCÍMETROS,"R$ 2.000,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,25/03/2022,AS-17101,272203,COMPRA DOS 2 PNEUS DIANTEIROS,DELLAVIA PNEUS,"R$ 1.540,00",NÃO HOUVE O.S. GEFROE,,
40.678,*****,*****,25/03/2022,AS-17101,272203,TROCA DOS 6 PNEUS (OBS.: APENAS MONTAGEM. PNEUS DIANTEIROS COMPRADOS NA DELLAVIA PNEUS MOGI. PNEUS TRASEIROS FORNECIDOS PELO CSM),RE9 DIESEL,"R$ 150,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,22/03/2022,ASE-17101,150155,COMPRA DA MOLA DO ACELERADOR SCANIA,NOGUTI CAMINHÕES,"R$ 8,49",NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,23/03/2022,MOB-17105,39977,TROCA DA CÂMARA DE AR DO PNEU TRASEIRO,ROTA 1,"R$ 172,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,16/03/2022,AB-17102,69699,SOCORRO MECÂNICO E TROCA DA MANGUEIRA HIDRAULICA,BF DIESEL,"R$ 550,00",NÃO HOUVE O.S. GEFROE,,
